# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
index,YTID,start_seconds,end_seconds,positive_labels,private,unavailable,views,likes,rating,comments
128,-FYyJ2sAWk4,200.0,210.0,/m/0242l,False,False,16986,24,0.0,8
129,-Fby-7z_JpE,0.0,8.0,/m/07q5rw0,False,False,1077308,2480,0.0,179
130,-FlvaZQOr2I,90.0,100.0,"/m/04rlf,/t/dd00037",False,False,180841,1309,0.0,0
131,-Fn3Ze8xVOE,210.0,220.0,"/m/05w3f,/m/0dl5d",False,False,2963427,20987,0.0,1100
132,-G3Ph35cTy0,30.0,40.0,"/m/09x0r,/t/dd00136",False,False,133838,341,0.0,397
133,-GDC7PuqdOM,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130",False,False,43267,86,0.0,12
134,-GI5PbO6j50,30.0,40.0,/m/03qc9zr,False,True,0,0,0.0,0
135,-GREE8GdRrc,30.0,40.0,"/m/02z32qm,/t/dd00129",False,False,413623,2008,0.0,293
136,-G_hnfp4a0M,30.0,40.0,"/m/04rlf,/m/07pbtc8",False,False,59241,178,0.0,42
137,-GaHBgRGi4s,10.0,20.0,"/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126",False,False,64963,104,0.0,0
138,-GbQWmFzVdY,60.0,70.0,"/m/01h3n,/m/03vt0,/m/0h2mp",False,False,235783,975,0.0,0
139,-GiRtQZlnbw,280.0,290.0,"/m/04_sv,/m/07yv9",False,False,3578575,9154,0.0,1000
140,-GlZ819IHfE,30.0,40.0,/m/07pn_8q,False,False,8546,36,0.0,2
141,-H5WnRXsnoM,130.0,140.0,"/m/07qwdck,/m/09x0r,/t/dd00125",False,True,0,0,0.0,0
142,-H5kC4WsuI8,30.0,40.0,"/m/07qcpgn,/m/09x0r",False,False,315220,454,0.0,49
143,-H7l8OjHID4,10.0,20.0,"/m/06xkwv,/m/07rcgpl",False,False,11541,16,0.0,1
144,-HLoD4GWMtw,4.0,14.0,/m/04rmv,False,False,17304,32,0.0,15
145,-HN5kqCKpEA,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r",False,False,13963,228,0.0,2
146,-Hav5URxl74,30.0,40.0,/m/04fgwm,False,False,16236,6,0.0,5
147,-HlS6jz-f0I,170.0,180.0,"/m/04rlf,/m/0dq0md",False,False,4767356,11092,0.0,1400
148,-HnNrGtKXp4,30.0,40.0,"/m/04rlf,/m/0m0jc",False,False,1410198,9264,0.0,457
149,-HvtS74RG8w,240.0,250.0,/m/03l9g,False,False,57102,0,0.0,0
150,-IKwiAsgpAI,500.0,510.0,"/m/02p01q,/m/07pdjhy,/m/083vt",False,True,0,0,0.0,0
151,-IWlQN6cfe4,30.0,40.0,/m/07pbtc8,False,False,186927,715,0.0,76
152,-IZsyroG6yo,420.0,430.0,"/m/07rkbfh,/m/09x0r",False,False,0,0,0.0,0
153,-ItCGHv_9Gs,3.0,13.0,"/m/07r4wb8,/m/09x0r",False,False,24550,70,0.0,4
154,-J0H5ah1G7A,30.0,40.0,"/m/025td0t,/m/04rlf",False,False,1918238,29273,0.0,2100
155,-JBvPwxaVVg,110.0,120.0,"/m/04rlf,/m/07qnq_y,/m/09x0r",False,False,197242,396,0.0,77
156,-JKLmqDk9p8,490.0,500.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038",False,False,40281,257,0.0,9
157,-JOKwS64mRU,150.0,160.0,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092",False,False,61830,430,0.0,20
158,-JVWfFPBl84,330.0,340.0,/m/0l14t7,False,False,49926,107,0.0,20
159,-Jam3cjbeFQ,30.0,40.0,"/m/07pws3f,/m/09x0r",False,False,12912,4,0.0,0
160,-JbPonixXS4,0.0,10.0,"/m/01j4z9,/m/0_ksk",False,False,219800,417,0.0,62
161,-JfXNXGi-l8,70.0,80.0,/m/03wvsk,False,False,0,0,0.0,0
162,-JfpacjZWyw,30.0,40.0,/m/01c194,False,False,382663,1579,0.0,230
163,-Jie0k7xUIk,10.0,20.0,"/m/012xff,/m/07r5v4s",False,True,0,0,0.0,0
164,-JuVh6islEI,30.0,40.0,"/m/06bz3,/m/09x0r",False,False,160161,1759,0.0,49
165,-K-k1pxeRtQ,30.0,40.0,"/m/03qtwd,/m/04gy_2",False,False,26641,864,0.0,74
166,-K4R9SXZZsk,10.0,20.0,"/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j",False,False,11411,4,0.0,1
167,-KElVp2r03E,530.0,540.0,"/m/018w8,/m/07rjzl8,/m/09x0r",False,True,0,0,0.0,0
168,-KaRoM5LnHc,30.0,40.0,"/m/07pyf11,/m/09x0r",False,False,41230,191,0.0,92
169,-KengzYsTkk,60.0,70.0,/m/06hck5,False,False,18795,122,0.0,23
170,-KiAK66YwW8,150.0,160.0,"/m/07r4k75,/m/09x0r",False,False,38288,333,0.0,13
171,-L44JqysUy8,190.0,200.0,"/m/07qc9xj,/m/09x0r,/t/dd00125",False,False,49038,144,0.0,67
172,-L68XDzhn2g,80.0,90.0,"/m/02x984l,/m/09x0r",False,False,73632,179,0.0,7
173,-LB1RoVe8Xc,270.0,280.0,"/m/04rlf,/m/07rrh0c",False,False,32403,61,0.0,33
174,-LBl0UeKNyU,430.0,440.0,"/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128",False,False,41754,785,0.0,62
175,-LQM385KSMY,30.0,40.0,"/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw",False,True,0,0,0.0,0
176,-M-6VinyMiY,30.0,40.0,"/m/04rlf,/t/dd00033",False,False,761169,6648,0.0,207
177,-MZx1np1Ddc,30.0,40.0,"/m/01jnbd,/m/09x0r",False,False,59616,251,0.0,83
178,-M_5w6KKfgQ,0.0,10.0,"/m/04rlf,/m/07r4wb8,/m/09x0r",False,False,16554,315,0.0,12
179,-MfaG0whPJc,130.0,140.0,"/m/07qv4k0,/t/dd00129",False,False,16060,12,0.0,5
180,-MtYGIr-o08,50.0,60.0,"/m/03qtwd,/m/04gy_2",False,False,67672,260,0.0,7
181,-Mu1AWT_x54,320.0,330.0,"/m/03v3yw,/m/09x0r",False,False,32806,104,0.0,0
182,-N2reaP4SoI,30.0,40.0,"/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r",False,False,1839332,6534,0.0,699
183,-NC5li0b4eY,30.0,40.0,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00006",False,False,25302,111,0.0,127
184,-NNjOlPg0y0,0.0,5.0,"/m/04rlf,/m/07c52",False,True,0,0,0.0,0
185,-NPqCu4DyAM,30.0,40.0,"/m/04rlf,/t/dd00032",False,False,831299,5951,0.0,1000
186,-N_vl1d7TFA,30.0,40.0,"/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk",False,True,0,0,0.0,0
187,-NmjCyqIavI,30.0,40.0,"/m/02cz_7,/m/04rlf,/m/0y4f8",False,False,145778,384,0.0,588
188,-NutOdeXH8s,50.0,60.0,/m/07pqc89,False,False,221600,137,0.0,147
189,-NwuLeOWpLk,420.0,430.0,/m/01lsmm,False,False,25666,287,0.0,70
190,-O842QWtymw,0.0,6.0,"/m/07st88b,/m/09ld4",False,False,12548,0,0.0,0
191,-O9mnfC61Ac,0.0,10.0,/m/01lyv,False,False,1034478,3087,0.0,147
192,-ODqYMQFwsY,30.0,40.0,/t/dd00134,False,False,56284,48,0.0,39
193,-ODzHayGHvk,50.0,60.0,/m/0ghcn6,False,False,78455,693,0.0,0
194,-OIGA3xjYyQ,0.0,10.0,/m/07rdhzs,False,False,195456,678,0.0,312
195,-OYfLX-2kmU,30.0,40.0,"/m/0140xf,/m/04rlf",False,False,675116,1246,0.0,79
196,-OaOY7-71ME,90.0,100.0,"/m/04rlf,/m/0ggx5q",False,False,6992495,40818,0.0,1300
197,-OylLzMa0d0,100.0,110.0,"/m/04rlf,/m/07p78v5",False,False,8951,251,0.0,42
198,-PFO-nCfRq0,0.0,9.0,"/m/01jt3m,/m/0838f",False,False,36268,16,0.0,2
199,-PIuJAAplqI,210.0,220.0,"/m/016cjb,/m/04rlf",False,False,0,0,0.0,0
200,-Pvyzs28PJw,20.0,30.0,"/m/03cczk,/m/07pdhp0,/m/07s12q4",False,False,0,0,0.0,0
201,-Q9WotFs1MI,30.0,40.0,/m/07pczhz,False,False,3837,5,0.0,1
202,-QE9dqhf_D8,170.0,180.0,"/m/0642b4,/m/09x0r",False,False,7230,19,0.0,3
203,-QSNQGKiGT4,260.0,270.0,/m/03qc9zr,False,False,186014,576,0.0,0
204,-QVqh513RxQ,15.0,25.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",False,False,57637,174,0.0,7
205,-QcXMPUNMeM,0.0,10.0,"/m/09x0r,/t/dd00121,/t/dd00125",False,False,77458,2492,0.0,0
206,-QivqOnaPIc,100.0,110.0,"/m/08j51y,/m/09x0r",False,False,11956,15,0.0,0
207,-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136",False,False,0,0,0.0,0
208,-R0267o4lLk,60.0,70.0,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md",False,False,25611,313,0.0,13
209,-R9gJXtS07g,0.0,10.0,"/m/04rlf,/m/07phhsh",False,False,41073,96,0.0,15
210,-RAdrtCW1hI,70.0,80.0,"/m/032s66,/m/073cg4",False,False,23919,54,0.0,88
211,-RIzfomIqZc,30.0,40.0,"/m/04rlf,/m/07bjf,/m/09x0r",False,False,36605,74,0.0,49
212,-RPKtQIGBOY,30.0,40.0,/m/03cczk,False,False,131323,169,0.0,100
213,-RRi3QktLdc,500.0,510.0,"/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128",False,False,97561,557,0.0,0
214,-RZ01HFrafg,6.0,16.0,/m/07qs1cx,False,False,11309,86,0.0,9
215,-RfUo7Hb8TE,30.0,40.0,"/m/01b9nn,/m/04rlf,/m/09x0r",False,False,188812,64,0.0,10
216,-Rl7NZwtVmA,40.0,50.0,/m/05_wcq,False,False,18587,134,0.0,8
217,-RlXse804I0,30.0,40.0,"/m/025td0t,/m/04rlf",False,False,487275,475,0.0,88
218,-RsGz8XRZUM,30.0,40.0,"/m/07pdhp0,/m/07pzfmf,/m/07s12q4",False,False,20281,70,0.0,40
219,-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",False,False,177811,197,0.0,27
220,-S-Cn-IKlQw,23.0,33.0,"/m/07swgks,/m/09x0r",False,False,63674,64,0.0,7
221,-SD9DkKyOrY,30.0,40.0,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md",False,False,242950,679,0.0,122
222,-Sclnq22t7o,30.0,40.0,/m/03q5_w,False,True,0,0,0.0,0
223,-T-ZI1MZ44g,40.0,50.0,"/m/04rlf,/m/09x0r,/t/dd00127",False,False,2337691,7811,0.0,993
224,-T4GeTHKtJQ,30.0,40.0,"/m/02x8m,/m/04rlf",False,False,360266,867,0.0,53
225,-TJe1_ECCwM,6.0,16.0,/m/07pws3f,False,False,5963,7,0.0,0
226,-TNmWwhsnzs,30.0,40.0,/m/07qv4k0,False,False,23734,35,0.0,0
227,-Tea8DpWZQM,13.0,23.0,"/m/015lz1,/m/01swy6,/m/09x0r",False,False,37196,29,0.0,18
228,-ToQFT3M-Vg,200.0,210.0,"/m/02cjck,/m/04rlf",False,False,1273836,3720,0.0,202
229,-TpdnwhYCvk,30.0,40.0,/m/07qsvvw,False,False,0,0,0.0,0
230,-TvUb8THUq4,100.0,110.0,"/m/04rlf,/m/06bxc",False,False,1324564,7352,0.0,877
231,-U3Xh6Fsw50,0.0,10.0,"/m/07pqn27,/m/09x0r",False,False,7926,3,0.0,0
232,-UGmXiQ8yiY,50.0,60.0,"/m/03dnzn,/m/07p7b8y,/m/09x0r",False,False,182888,1487,0.0,44
233,-UNPp3fEWSE,0.0,10.0,"/m/01d380,/m/07k1x,/m/0_ksk",False,False,42437,0,0.0,0
234,-UYmhq3Rjtc,30.0,40.0,"/m/04rlf,/m/07pws3f",False,False,7393,7,0.0,1
235,-Ub8LKPkhos,60.0,70.0,/m/06xkwv,False,False,12664,15,0.0,1
236,-UbFLKplzbE,30.0,40.0,/m/01j4z9,False,False,105112,29,0.0,24
237,-UcfsxiD_ns,340.0,350.0,/m/0llzx,False,False,197527,1937,0.0,103
238,-UfqtS1lsRY,30.0,40.0,"/m/01bns_,/m/0d8_n",False,False,25857,53,0.0,7
239,-UuEBhule84,350.0,360.0,"/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r",False,False,964583,5413,0.0,898
240,-Uw2HHni78U,80.0,90.0,"/m/0jb2l,/m/0ngt1",False,True,0,0,0.0,0
241,-V7u2HffQAE,160.0,170.0,"/m/07rrh0c,/m/09x0r",False,False,43977,289,0.0,13
